id,nome,marca,descrizione,immagine,prezzo,dimensioni,taglia,spedizione
1,Submariner Date,Rolex,Orologio subacqueo iconico in acciaio Oystersteel con lunetta in ceramica nera. Impermeabile fino a 300 metri.,https://images.unsplash.com/photo-1547996160-81dfa63595aa?w=600&q=80,12500,41mm,126610LN,3-5 giorni
2,Seamaster 300M,Omega,Diver professionale con cassa in acciaio e quadrante a onde concentriche blu. Spirale co-axiale Master Chronometer.,https://images.unsplash.com/photo-1614164185128-e4ec99c436d7?w=600&q=80,6200,42mm,210.30.42.20.03.001,5-7 giorni
3,Portugieser Chronograph,IWC Schaffhausen,Cronografo elegante con cassa in acciaio da 41mm e quadrante bianco con contatori blu. Movimento meccanico a carica manuale.,https://images.unsplash.com/photo-1587836374828-4dbafa94cf0e?w=600&q=80,8900,41mm,IW371605,7-10 giorni
4,Royal Oak,Audemars Piguet,Il lusso sportivo per eccellenza. Cassa octagonale in acciaio lucidato e satinato con quadrante tapisserie blu. Bracciale integrato.,https://images.unsplash.com/photo-1523170335258-f5ed11844a49?w=600&q=80,32000,41mm,15510ST.OO.1320ST.06,10-14 giorni
5,Patrimony,Vacheron Constantin,Orologio ultrasottile da gran classe. Cassa in oro bianco 18kt con quadrante argenté e indici applicati in oro.,https://images.unsplash.com/photo-1548171915-e79a6a8bfce9?w=600&q=80,28500,40mm,81180/000G-9117,14-20 giorni
6,Calatrava,Patek Philippe,Il riferimento assoluto dell'orologeria classica. Cassa in oro rosa 18kt con quadrante avorio e lancette dauphine.,https://images.unsplash.com/photo-1612817288484-6f916006741a?w=600&q=80,41000,39mm,5196R-001,14-21 giorni
7,Reverso Classic,Jaeger-LeCoultre,L'iconico orologio a cassa reversibile nato nel 1931. Acciaio lucidato con quadrante argentato e numeri romani.,https://images.unsplash.com/photo-1526045612212-70caf35c14df?w=600&q=80,7200,38mm,Q2548520,7-10 giorni
8,Lange 1,A. Lange & Söhne,Capolavoro dell'orologeria sassone con grande data eccentrica e quadrante in argento massiccio. Platino 950.,https://images.unsplash.com/photo-1594534475808-b18fc33b045e?w=600&q=80,48000,38.5mm,191.025,14-21 giorni
9,Aquanaut,Patek Philippe,Orologio sportivo moderno con cassa in acciaio e cinturino in caucciù composito nero. Quadrante a rilievo tropicale.,https://images.unsplash.com/photo-1633613286991-611fe299c4be?w=600&q=80,35000,40mm,5168G-010,10-14 giorni
10,Navitimer,Breitling,Il cronografo degli aviatori dal 1952. Cassa in acciaio con lunetta a regolo circolare e quadrante blu con tre contatori.,https://images.unsplash.com/photo-1548690312-e3b507d8c110?w=600&q=80,9400,43mm,AB0139241C1A1,5-7 giorni
11,Santos,Cartier,Uno dei primi orologi da polso della storia. Cassa quadrata in acciaio con viti a vista e quadrante bianco con indici romani.,https://images.unsplash.com/photo-1585386959984-a4155224a1ad?w=600&q=80,7800,39.8mm,WSSA0018,5-7 giorni
12,Master Ultra Thin,Jaeger-LeCoultre,Eleganza minimalista al massimo grado. Cassa in acciaio da soli 9.2mm di spessore con quadrante argentato.,https://images.unsplash.com/photo-1542496658-e33a6d0d50f6?w=600&q=80,11500,40mm,Q1358420,7-10 giorni
